"ip_addr","load_ms","protocol","image_total","minify_save","score_cookies","score_compress","priority","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","is_base_page","bytesIn","initiator_line","bytesOut","minify_total","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","cacheControl","expires","jpeg_scan_count","score_progressive_jpeg",
"141.211.243.251","252","http/1.1","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://umich.edu/includes/panels/gallery/scripts/index.js?1540911482","-1","-1","200","-1","","","7317","59","336","","gzip","181105_G4_G","-1","74","-1","0","0","28919","1585","-1","GET","6999","6999","","0.49","-1","-1","umich.edu","100","-1","https://umich.edu/","3","1425","/includes/panels/gallery/scripts/index.js?1540911482","0","","","1837","1585","1659","1659","1837","178","1585","1837","252","30","31","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","","",
"141.211.243.251","120","http/1.1","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://umich.edu/includes/panels/infographics/scripts/index.js?1520002622","-1","-1","200","-1","","","489","59","341","","gzip","181105_G4_G","-1","25","-1","0","0","257","1586","-1","GET","172","172","","0.50","-1","-1","umich.edu","100","-1","https://umich.edu/","4","1426","/includes/panels/infographics/scripts/index.js?1520002622","0","","","1706","1586","1611","1611","1706","95","1586","1706","120","31","32","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","","",
"141.211.243.251","119","http/1.1","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://umich.edu/scripts/index.js?1540387205","-1","-1","200","-1","","","2052","59","312","","gzip","181105_G4_G","-1","25","-1","0","0","7130","1587","-1","GET","1734","1734","","0.51","-1","-1","umich.edu","100","-1","https://umich.edu/","1","1426","/scripts/index.js?1540387205","0","","","1706","1587","1612","1612","1706","94","1587","1706","119","32","33","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","","",
"141.211.243.251","313","http/1.1","18945","","-1","100","low","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://umich.edu/includes/image/type/events-remote/id/26030-14121987/name/event_26030_original.jpeg/width/340/","-1","-1","200","-1","0","","19358","59","436","","","181105_G4_G","-1","46","-1","0","0","18945","1624","-1","GET","18945","","","0.10","-1","-1","umich.edu","100","-1","https://umich.edu/","4","1412","/includes/image/type/events-remote/id/26030-14121987/name/event_26030_original.jpeg/width/340/","0","","","1937","1624","1670","1670","1937","267","1624","1937","313","33","34","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","1","0",
"141.211.243.251","212","http/1.1","3724","","-1","100","low","Image","3","-1","-1","image/png","","1","","-1","-1","https://umich.edu/includes/panels/gallery/images/block-m-maize.png","-1","-1","200","-1","0","","4012","59","391","","","181105_G4_G","-1","45","-1","-1","","3724","1626","-1","GET","3724","","","0.11","-1","-1","umich.edu","100","-1","https://umich.edu/","1","1413","/includes/panels/gallery/images/block-m-maize.png","-1","","","1838","1626","1671","1671","1838","167","1626","1838","212","34","35","1","0","no-cache, must-revalidate","Sun, 18 Nov 2018 19:54:30 EST","","",
"141.211.243.251","261","http/1.1","11854","","-1","100","low","Image","3","-1","-1","image/jpeg","","1","","-1","-1","https://umich.edu/includes/image/type/gallery/id/5/name/DIL-17Apr12-Slideshow%28017%29.jpg/width/152/height/152/mode/minfit/","-1","-1","200","-1","0","","12280","59","449","","","181105_G4_G","-1","41","-1","0","0","11854","1674","-1","GET","11854","","","0.13","-1","-1","umich.edu","100","-1","https://umich.edu/","1","1413","/includes/image/type/gallery/id/5/name/DIL-17Apr12-Slideshow%28017%29.jpg/width/152/height/152/mode/minfit/","0","","","1935","1674","1715","1715","1935","220","1674","1935","261","35","36","1","0","public","Sun, 18 Nov 2018 19:54:30 EST","1","0",
"141.211.243.251","265","http/1.1","19610","","-1","100","low","Image","3","-1","-1","image/png","","1","","-1","-1","https://umich.edu/includes/panels/gallery/images/24-hours.png","-1","-1","200","-1","0","","19943","59","386","","","181105_G4_G","-1","41","-1","-1","","19610","1674","-1","GET","19610","","","0.12","-1","-1","umich.edu","100","-1","https://umich.edu/","3","1413","/includes/panels/gallery/images/24-hours.png","-1","","","1939","1674","1715","1715","1939","224","1674","1939","265","36","37","1","0","no-cache, must-revalidate","Sun, 18 Nov 2018 19:54:30 EST","","",
"","1050","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/skins/um2013/media/images/umich-logo.png","-1","-1","-1","-1","","","0","758","0","","","181105_G4_G","-1","1050","-1","-1","","0","1690","-1","GET","0","","","0.53","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1690","/skins/um2013/media/images/umich-logo.png","-1","","","2740","1690","2740","2740","2740","0","1690","2740","1050","37","38","1","0","","","","",
"","1045","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/media/images/infographics/schools-colleges.png","-1","-1","-1","-1","","","0","758","0","","","181105_G4_G","-1","1045","-1","-1","","0","1692","-1","GET","0","","","0.55","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1692","/media/images/infographics/schools-colleges.png","-1","","","2737","1692","2737","2737","2737","0","1692","2737","1045","38","39","1","0","","","","",
"","1047","","","","-1","-1","","Image","3","-1","-1","","","1","","-1","-1","https://umich.edu/includes/image/type/features/id/469/name/Law-Library-at-night-gateway.jpg/width/2500/","-1","-1","-1","-1","","","0","758","0","","","181105_G4_G","-1","1047","-1","-1","","0","1692","-1","GET","0","","","0.54","-1","-1","umich.edu","-1","-1","https://umich.edu/","-1","1692","/includes/image/type/features/id/469/name/Law-Library-at-night-gateway.jpg/width/2500/","-1","","","2739","1692","2739","2739","2739","0","1692","2739","1047","39","40","1","0","","","","",
