"ip_addr","load_ms","protocol","image_total","minify_save","score_cookies","score_compress","priority","requestType","type","dns_start","ssl_end","contentType","gzip_save","is_secure","server_count","score_gzip","ssl_start","full_url","dns_ms","connect_end","responseCode","ssl_ms","image_save","is_base_page","bytesIn","initiator_line","bytesOut","minify_total","cacheControl","contentEncoding","id","dns_end","ttfb_ms","connect_start","score_cdn","cache_time","objectSizeUncompressed","load_start","connect_ms","method","objectSize","gzip_total","expires","initiator_column","request_id","score_combine","score_etags","host","score_keep-alive","score_minify","initiator","socket","created","url","score_cache","server_rtt","cdn_provider","load_end","ttfb_start","ttfb_end","download_start","download_end","download_ms","all_start","all_end","all_ms","index","number","run","cached","jpeg_scan_count","score_progressive_jpeg",
"157.240.2.25","95","h2","","","-1","-1","high","Script","3","3485","3822","application/x-javascript; charset=utf-8","0","1","","100","3550","https://connect.facebook.net/en_US/fbevents.js","39","3550","200","272","","","24724","1","167","","public, max-age=1200","gzip","181105_1R_A","3524","34","3526","100","1200","74847","3823","24","GET","23406","23406","Sat, 01 Jan 2000 00:00:00 GMT","286","0.37","-1","-1","connect.facebook.net","100","-1","https://vimeo.com/","12","3477","/en_US/fbevents.js","0","","Facebook","3918","3823","3857","3857","3918","61","3485","3918","430","30","31","1","0","","",
"173.194.78.139","138","h2","","","-1","-1","high","Script","3","3441","3824","text/javascript","0","1","","100","3529","https://www.google-analytics.com/analytics.js","35","3529","200","295","","","17742","14007","167","","public, max-age=7200","gzip","181105_1R_A","3476","73","3477","100","4392","43233","3824","52","GET","17301","17301","Mon, 05 Nov 2018 01:59:36 GMT","26","0.29","-1","-1","www.google-analytics.com","100","-1","https://www.googletagmanager.com/gtm.js?id=GTM-RBKK&l=_gtm","14","3433","/analytics.js","50","","Google","3962","3824","3897","3897","3962","65","3441","3962","520","31","32","1","0","","",
"52.84.143.125","67","http/1.1","","","-1","-1","high","Script","3","3443","3823","application/x-javascript","","1","","-1","3515","https://dnn506yrbagrg.cloudfront.net/pages/scripts/0014/1514.js?428160","38","3515","200","308","","","518","14007","337","","max-age=28800","","181105_1R_A","3481","48","3482","100","15919","81","3824","33","GET","81","","","26","0.30","-1","-1","dnn506yrbagrg.cloudfront.net","100","-1","https://www.googletagmanager.com/gtm.js?id=GTM-RBKK&l=_gtm","11","3435","/pages/scripts/0014/1514.js?428160","50","","Amazon CloudFront","3891","3824","3872","3872","3891","19","3443","3891","446","32","33","1","0","","",
"173.194.67.156","135","h2","","","-1","-1","high","Script","3","3445","3825","text/javascript; charset=UTF-8","0","1","","100","3535","https://www.googleadservices.com/pagead/conversion_async.js","32","3535","200","290","","","9394","14007","175","","private, max-age=3600","gzip","181105_1R_A","3477","86","3479","100","3600","23404","3826","56","GET","8776","8776","Mon, 05 Nov 2018 00:46:24 GMT","26","0.31","-1","-1","www.googleadservices.com","100","-1","https://www.googletagmanager.com/gtm.js?id=GTM-RBKK&l=_gtm","13","3436","/pagead/conversion_async.js","50","","Google","3961","3826","3912","3912","3961","49","3445","3961","513","33","34","1","0","","",
"13.107.21.200","93","h2","","","-1","-1","low","Image","3","-1","-1","","","1","","-1","-1","https://bat.bing.com/action/0?ti=4019681&Ver=2&mid=5e931807-f3ed-42f2-385a-3adfdb299e95&pi=0&lg=en-US&sw=375&sh=667&sc=32&tl=Vimeo%20%7C%20The%20high-quality%20home%20for%20video%20hosting%20and%20watching&p=https%3A%2F%2Fvimeo.com%2F&r=&lt=2911&evt=pageLoad&msclkid=N&rn=702723","-1","-1","204","-1","","","211","1","253","","no-cache, must-revalidate","","181105_1R_A","-1","41","-1","-1","","0","3866","-1","GET","0","","Fri, 01 Jan 1990 00:00:00 GMT","9449","0.39","-1","-1","bat.bing.com","-1","-1","https://bat.bing.com/bat.js","10","3865","/action/0?ti=4019681&Ver=2&mid=5e931807-f3ed-42f2-385a-3adfdb299e95&pi=0&lg=en-US&sw=375&sh=667&sc=32&tl=Vimeo%20%7C%20The%20high-quality%20home%20for%20video%20hosting%20and%20watching&p=https%3A%2F%2Fvimeo.com%2F&r=&lt=2911&evt=pageLoad&msclkid=N&rn=702723","-1","","","3959","3866","3907","3907","3959","52","3866","3959","93","34","35","1","0","","",
"96.16.205.68","336","http/1.1","","","-1","-1","high","","3","-1","-1","text/javascript","","1","","-1","-1","https://pixel.mathtag.com/event/js?mt_pp=1&mt_adid=182258&mt_id=1137909&mm_bnc&mm_bct","-1","-1","200","-1","","","1392","1253","690","","max-age=0, no-cache, no-store","","181105_1R_A","-1","335","-1","100","","884","3888","-1","GET","884","","Mon, 05 Nov 2018 00:46:24 GMT","","0.36.1","-1","-1","pixel.mathtag.com","100","-1","https://vimeo.com/","15","3888","/event/js?mt_pp=1&mt_adid=182258&mt_id=1137909&mm_bnc&mm_bct","-1","","Akamai","4224","3888","4223","4223","4224","1","3888","4224","336","35","36","1","0","","",
"13.107.21.200","315","h2","","","-1","-1","low","","3","-1","-1","","","1","","-1","-1","https://bat.bing.com/action/0?ti=4019681&Ver=2","-1","-1","204","-1","","","600","1253","265","","no-cache, must-revalidate","","181105_1R_A","-1","315","-1","-1","","0","3910","-1","GET","0","","Fri, 01 Jan 1990 00:00:00 GMT","","0.33.1","-1","-1","bat.bing.com","-1","-1","https://vimeo.com/","10","3910","/action/0?ti=4019681&Ver=2","-1","","","4225","3910","4225","4225","4225","0","3910","4225","315","36","37","1","0","","",
"157.240.2.25","267","h2","","","-1","-1","high","Script","3","-1","-1","application/x-javascript; charset=utf-8","0","1","","100","-1","https://connect.facebook.net/signals/config/1472749159700779?v=2.8.32&r=stable","-1","-1","200","-1","","","41169","25","55","","public, max-age=1200","gzip","181105_1R_A","-1","110","-1","100","1200","171142","3959","-1","GET","39851","39851","Sat, 01 Jan 2000 00:00:00 GMT","14291","0.40","-1","-1","connect.facebook.net","100","-1","https://connect.facebook.net/en_US/fbevents.js","12","3958","/signals/config/1472749159700779?v=2.8.32&r=stable","0","","Facebook","4226","3959","4069","4069","4226","157","3959","4226","267","37","38","1","0","","",
"173.194.78.139","157","h2","","","-1","-1","high","Script","3","-1","-1","text/javascript","0","1","","100","-1","https://www.google-analytics.com/plugins/ua/ec.js","-1","-1","200","-1","","","1692","15","28","","public, max-age=3600","gzip","181105_1R_A","-1","59","-1","100","1409","2779","4071","-1","GET","1296","1296","Mon, 05 Nov 2018 01:09:54 GMT","120","0.42","-1","-1","www.google-analytics.com","100","-1","https://www.google-analytics.com/analytics.js","14","4058","/plugins/ua/ec.js","0","","Google","4228","4071","4130","4130","4228","98","4071","4228","157","38","39","1","0","","",
"18.217.127.164","150","http/1.1","","","-1","-1","high","Script","3","3480","4077","application/x-javascript","0","1","","100","3817","https://secure.quantserve.com/quant.js","264","3817","200","260","","","5792","1","305","","private, no-transform, must-revalidate, max-age=604800","gzip","181105_1R_A","3744","50","3745","0","604800","12623","4077","72","GET","5456","5456","Mon, 12 Nov 2018 00:46:25 GMT","291","0.35","-1","-1","secure.quantserve.com","100","-1","https://vimeo.com/","16","3473","/quant.js","100","","","4227","4077","4127","4127","4227","100","3480","4227","746","39","40","1","0","","",
